"customer","sale_date","seller"
Cristina Xu,1992-09-21,Abraham Bennet
Karen Huang,1992-09-21,Dirk Stringer
Willie Gao,1992-09-22,Michael O'Leary
Olivia Bennett,1992-11-10,Reginald Blotchet-Halls
Levi Gonzalez,1992-09-21,Marjorie Green
Mya Coleman,1992-09-24,Michael O'Leary
Richard Martinez,1992-09-21,Abraham Bennet
Tyrone Ruiz,1992-09-21,Marjorie Green
Jacob Martinez,1992-09-21,Michael O'Leary
Jared Gray,1992-09-22,Dirk Stringer
Olivia Bennett,1992-09-21,Michael O'Leary
Samuel Sharma,1992-09-22,Michael O'Leary
Kaitlyn Allen,1992-09-21,Dirk Stringer
Mario Rai,1992-09-21,Abraham Bennet
Krista Gill,1992-09-22,Marjorie Green
Kristen Li,1992-09-21,Michael O'Leary
